feu;
1;
1;
30;30;
–––––––––––––––––––––––––––––––––––––––;
6;1;7;7;6;3;5;6;3;3;8;4;1;1;4;1;1;3;2;7;1;4;4;5;1;4;8;6;7;2;
2;3;4;8;1;1;2;7;1;8;4;1;7;6;7;3;5;1;1;1;3;7;4;1;6;3;4;7;6;2;
6;3;1;6;7;7;8;5;8;5;7;8;1;3;2;3;8;6;8;7;4;6;4;3;3;6;8;8;8;6;
4;8;4;6;5;6;2;5;3;3;8;6;5;3;8;6;6;3;8;3;3;7;5;2;7;8;2;4;2;2;
1;6;5;5;5;3;6;4;1;2;3;8;5;5;7;2;2;2;7;8;7;5;1;8;5;6;1;6;4;4;
6;5;3;1;7;4;8;3;3;3;6;8;8;8;2;2;3;8;7;3;1;3;2;5;1;3;3;4;5;1;
2;7;3;6;8;3;2;8;6;3;8;7;4;2;7;5;3;4;8;4;2;5;3;1;5;6;5;1;6;3;
3;7;1;1;2;2;6;5;8;4;6;4;7;2;3;6;6;7;1;7;2;6;8;4;6;3;1;4;8;4;
8;7;8;8;1;8;1;4;1;6;5;3;3;3;6;4;2;7;7;2;5;3;6;3;1;8;1;5;2;4;
6;3;3;8;6;4;5;3;6;4;5;5;1;3;4;2;5;3;5;1;8;6;4;7;5;5;4;5;5;7;
6;8;4;4;4;4;5;8;3;7;2;7;1;1;3;7;7;4;4;3;7;6;2;7;7;4;4;2;6;2;
6;8;2;6;7;3;4;8;8;2;2;8;7;1;7;1;2;8;3;1;8;8;3;4;6;5;5;2;2;5;
1;4;2;2;3;7;6;2;6;3;6;1;2;4;3;3;4;7;6;4;5;8;6;3;3;2;5;5;3;7;
1;7;6;7;7;2;2;6;5;4;8;8;3;2;3;5;4;4;3;2;4;4;1;3;2;8;6;4;5;3;
5;5;2;6;7;3;4;5;6;6;3;6;8;4;3;5;2;5;4;3;1;2;7;7;2;5;5;6;8;5;
2;5;6;7;2;5;6;2;4;3;2;4;6;8;3;6;3;8;3;7;2;3;6;3;3;7;6;1;8;4;
5;2;6;3;3;4;2;6;2;6;8;8;8;8;2;5;3;7;3;1;6;7;1;5;6;5;5;4;3;5;
3;3;6;4;1;4;4;7;3;2;4;5;6;1;8;5;8;6;3;7;4;8;6;5;8;5;4;5;3;1;
1;7;8;6;6;7;6;6;5;7;5;7;1;6;7;2;1;8;1;7;7;5;8;7;6;2;5;6;4;7;
1;1;1;6;7;7;8;7;5;3;7;7;4;8;4;6;6;6;5;7;1;8;5;5;6;2;4;6;8;1;
8;6;7;7;2;2;4;4;1;4;8;3;4;1;6;2;1;5;3;2;3;6;1;8;8;8;3;2;8;2;
6;7;5;8;3;5;7;6;8;1;1;6;5;5;3;5;2;8;1;5;5;3;6;2;5;6;1;4;3;7;
4;2;8;7;2;6;8;4;7;3;7;5;2;5;6;3;8;3;6;1;7;8;4;3;4;4;7;1;7;5;
6;5;6;3;2;7;7;6;1;7;4;6;2;7;7;7;8;7;1;2;1;6;1;2;4;4;6;1;6;4;
6;4;6;3;7;6;6;4;3;8;7;8;4;5;1;4;1;5;6;1;7;6;5;2;3;4;7;2;7;6;
2;7;6;5;1;2;7;3;8;8;5;4;4;6;1;3;1;7;3;5;6;2;3;1;4;8;1;7;5;8;
6;4;2;2;2;7;2;2;7;7;7;7;3;2;7;6;7;1;6;6;2;1;3;8;1;4;4;1;3;1;
4;5;2;3;2;1;5;6;3;1;1;5;7;8;1;3;2;1;8;3;6;2;2;5;4;1;4;3;5;8;
2;4;7;1;7;7;4;1;3;8;5;1;3;8;3;7;2;1;4;8;1;2;3;5;7;5;6;7;6;8;
2;6;4;3;4;6;6;7;8;4;4;3;1;2;5;2;2;7;5;1;6;8;3;5;2;2;3;7;5;1;
0;0;0;6-10;
1;0;0;6-10;
3;1;0;1-10;
3;0;1;2-10;
5;1;1;3-10;
5;1;2;3-10;
5;0;2;6-10;
5;8;6;6-10;
6;0;0;0;
6;8;6;6-10;
7;2;1;4-10;
7;2;2;1-10;
7;0;3;4-10;
8;0;1;0;
8;7;5;3-10;
8;8;5;3-10;
8;9;6;3-10;
9;1;0;0;
9;1;1;0;
9;1;2;0;
9;3;2;6-10;
9;2;3;4-10;
9;1;4;6-10;
9;0;4;1-10;
10;0;2;0;
10;7;4;4-10;
10;8;4;1-10;
10;9;4;2-10;
10;9;5;3-10;
10;9;7;4-10;
11;8;6;0;
11;2;1;0;
11;0;3;0;
11;3;3;6-10;
11;0;5;6-10;
12;7;5;0;
12;8;5;0;
12;9;6;0;
12;6;3;2-10;
12;6;4;6-10;
12;8;3;3-10;
12;9;3;3-10;
12;10;4;3-10;
12;10;5;6-10;
12;10;7;6-10;
12;9;8;6-10;
12;15;15;6-10;
13;2;2;0;
13;2;3;0;
13;0;6;2-10;
13;15;15;6-10;
14;3;2;0;
14;1;4;0;
14;7;4;0;
14;9;5;0;
14;9;7;0;
14;5;3;6-10;
14;5;5;4-10;
14;5;4;3-10;
14;11;7;4-10;
14;11;8;3-10;
14;9;9;4-10;
14;8;9;6-10;
14;8;8;1-10;
15;0;4;0;
15;9;4;0;
15;0;7;3-10;
15;16;14;2-10;
15;16;15;3-10;
15;16;16;3-10;
15;14;15;3-10;
16;8;4;0;
16;3;3;0;
16;0;5;0;
16;8;3;0;
16;9;3;0;
16;10;4;0;
16;6;6;2-10;
16;5;6;3-10;
16;12;6;4-10;
16;12;8;3-10;
16;10;10;2-10;
16;8;10;3-10;
16;7;9;3-10;
16;7;8;4-10;
17;6;3;0;
17;6;4;0;
17;10;5;0;
17;10;7;0;
17;9;8;0;
17;16;13;4-10;
17;14;14;3-10;
17;14;16;2-10;
18;0;6;0;
18;15;15;0;
18;5;5;0;
18;5;4;0;
18;11;7;0;
18;11;8;0;
18;9;9;0;
18;6;7;6-10;
18;5;7;2-10;
18;4;7;2-10;
18;13;6;2-10;
18;13;8;3-10;
18;12;9;1-10;
18;10;11;2-10;
18;9;11;2-10;
18;6;8;1-10;
19;5;3;0;
19;8;9;0;
19;0;7;0;
19;16;15;0;
19;16;16;0;
19;14;15;0;
19;16;12;4-10;
19;17;13;4-10;
19;13;13;2-10;
19;14;13;3-10;
19;13;14;4-10;
19;13;17;1-10;
20;8;8;0;
20;16;14;0;
20;5;6;0;
20;12;6;0;
20;12;8;0;
20;8;10;0;
20;7;9;0;
20;7;8;0;
20;4;8;1-10;
20;3;7;1-10;
20;13;7;2-10;
20;14;8;6-10;
20;13;9;3-10;
20;13;10;1-10;
20;12;10;1-10;
20;11;12;1-10;
20;10;12;6-10;
20;9;12;3-10;
20;5;9;4-10;
21;6;6;0;
21;10;10;0;
21;16;13;0;
21;14;14;0;
21;15;11;1-10;
21;16;11;2-10;
21;15;12;3-10;
21;18;12;6-10;
21;18;13;3-10;
21;18;14;4-10;
21;13;12;4-10;
21;14;12;3-10;
21;12;13;3-10;
21;12;15;6-10;
21;13;18;6-10;
21;12;17;6-10;
22;14;16;0;
22;13;8;0;
22;4;9;6-10;
22;3;6;6-10;
22;2;7;1-10;
22;14;7;3-10;
22;15;8;4-10;
22;14;9;4-10;
22;14;10;3-10;
22;13;11;1-10;
22;12;12;2-10;
22;9;13;4-10;
22;8;12;6-10;
22;5;10;4-10;
23;6;7;0;
23;5;7;0;
23;4;7;0;
23;13;6;0;
23;10;11;0;
23;9;11;0;
23;16;12;0;
23;17;13;0;
23;14;13;0;
23;13;14;0;
23;17;10;4-10;
23;18;11;3-10;
